1246,14049,2235,11320,4714,33095,
1253,2124,3031,3433,3915,4393,
1266,30946,81,1555,2541,3348,
1275,73,190,430,1105,5460,
1278,8935,19678,21777,24193,29284,
1288,23239,5510,22953,32429,21274,
1289,5004,7207,11863,23087,664,
1292,3753,9210,9635,24984,27403,
1328,284,458,466,504,574,
1332,3440,25775,24118,33473,18692,
1336,26252,25225,5218,27534,3762,
1353,81,1169,1555,1743,1796,
1355,1832,4419,8035,8292,10841,
1363,846,4137,4226,7424,9059,
1365,19898,8145,1057,5869,6820,
1372,1241,2333,5309,7736,14519,
1401,214,5250,9711,11273,11478,
1411,3127,6915,7598,10162,10794,
1425,15723,21728,27116,13043,8644,
1430,12335,13250,14224,15685,17515,
1441,2092,8783,9898,23363,32295,
1443,6981,15363,1299,1373,2142,
1449,2508,5258,9878,7073,32759,
1456,1603,2121,7974,8358,8928,
1486,8623,30411,191,6265,13419,
1488,2731,4623,16556,4816,1353,
1490,81,1169,1353,1555,1743,
1492,5081,6228,9878,10451,19871,
1505,5106,20713,14085,18674,
1530,2799,11200,
1539,12059,19101,11446,8038,1624,
1540,3284,14305,32233,261,437,
1555,81,1169,1743,2487,2541,
1570,5785,32490,29898,27083,29046,
1610,2621,2493,3653,4663,7495,
1617,29224,4193,1947,711,1832,
1618,4231,10132,16114,19084,21363,
1621,34709,6376,8234,14218,19697,
1624,18116,1748,5004,6258,6882,
1634,437,1139,5005,5900,6773,
1646,3621,8200,9811,10157,10721,
1653,9390,27817,
1684,3647,555,2280,5882,12588,
1691,1879,5315,7117,12205,16963,
1738,2124,3031,3433,3915,6427,
1763,27560,26239,13014,612,705,
1790,18572,24512,6372,7069,26632,
1796,81,1169,1743,2487,2541,
1805,2106,33526,5437,13020,25720,
1817,376,1182,2000,3484,4752,
1871,28258,18762,5592,8613,14525,
1884,695,885,2026,2113,2508,
1888,2788,8469,3683,8164,33653,
1895,29224,1947,29098,7076,9055,
1899,1011,22499,10839,23647,24987,
1916,18605,7035,8946,2635,23977,
1947,29098,29224,5495,25426,4193,
1950,14689,5178,11363,21840,25274,
2020,52,603,2125,4430,5090,
2029,18129,173,1050,2271,2807,
2030,167,562,819,844,1378,
2032,6447,27817,13648,35469,
2106,8051,5820,21182,34880,35550,
2109,7051,12245,26806,21495,3620,
2120,124,261,437,543,1139,
2168,695,885,1884,2026,2113,
2176,7956,1182,1817,376,1183,
2205,9022,23807,25226,9307,16072,
2207,418,1871,5351,11100,11743,
2224,4145,4197,7764,9867,12487,
2235,33095,53,3296,5352,7242,
2283,14524,
