1618,4231,10132,16114,19084,21363,25929,26582,
1621,34709,6376,8234,14218,19697,23086,29374,
1624,18116,1748,5004,6258,6882,7207,11863,
1634,437,1139,5005,5900,6773,8566,8829,
1646,3621,8200,9811,10157,10721,11059,12855,
1653,9390,27817,
1684,3647,555,2280,5882,12588,17198,32692,
1691,1879,5315,7117,12205,16963,17751,20016,
1738,2124,3031,3433,3915,6427,7181,15292,
1763,27560,26239,13014,612,705,1170,2429,
1790,18572,24512,6372,7069,26632,26853,24825,
1796,81,1169,1743,2487,2541,3123,3189,
1805,2106,33526,5437,13020,25720,27779,33431,
1817,376,1182,2000,3484,4752,4879,5462,
1871,28258,18762,5592,8613,14525,26911,30343,
1884,695,885,2026,2113,2508,3490,3543,
1888,2788,8469,3683,8164,33653,19751,15394,
1895,29224,1947,29098,7076,9055,4193,25426,
1899,1011,22499,10839,23647,24987,2577,14139,
1916,18605,7035,8946,2635,23977,5971,167,
1947,29098,29224,5495,25426,4193,26540,7076,
1950,14689,5178,11363,21840,25274,27341,29605,
2020,52,603,2125,4430,5090,9497,10150,
2029,18129,173,1050,2271,2807,5960,7700,
2030,167,562,819,844,1378,2556,3103,
2032,6447,27817,13648,35469,
2106,8051,5820,21182,34880,35550,
2109,7051,12245,26806,21495,3620,15141,1355,
2120,124,261,437,543,1139,1197,2254,
2168,695,885,1884,2026,2113,2508,3490,
2176,7956,1182,1817,376,1183,1234,1629,
2205,9022,23807,25226,9307,16072,16235,19892,
2207,418,1871,5351,11100,11743,11928,13887,
2224,4145,4197,7764,9867,12487,13124,13145,
2235,33095,53,3296,5352,7242,10395,19755,
2283,14524,
2309,11414,5645,6230,12245,17343,21917,24216,
2319,8568,12540,19420,31901,3406,3411,5279,
2326,6455,13249,15312,15713,18210,18878,20037,
2333,23667,32172,30896,17937,1,29,152,
2337,8204,15087,17103,22784,5350,6651,7031,
2342,35494,23895,10960,4561,5101,10679,19009,
2345,1589,4292,6277,6987,7104,7422,8457,
2347,1115,11543,15060,19233,2776,3384,9370,
2376,12928,24605,33117,1210,23563,1884,1603,
2388,3570,5404,7039,12028,18212,19054,20410,
2397,13223,34311,16344,11856,12005,34994,31991,
2401,12612,21717,26456,8237,11362,14214,32548,
2421,1085,2217,17310,27355,29044,31154,21042,
2434,1234,6674,8602,11645,11686,12249,14846,
2439,24308,18881,33457,124,29317,8145,29043,
2458,9254,23164,7010,21754,14326,190,1105,
2461,28968,4529,25964,20929,855,14523,22286,
2485,7956,2176,727,1234,1607,1629,2434,
2496,2807,8034,16766,18004,33616,34228,15460,
2532,35287,4728,5919,23423,12619,
2534,665,1846,1851,2173,4220,6232,7201,
2547,2775,2224,7764,13717,19437,19507,20055,
2574,17084,4108,4424,4494,6269,18398,18966,
2577,191,1486,3844,4529,6265,8623,10554,
2578,12191,22884,12042,19493,27004,18212,5404,
2603,15081,20294,30545,36074,31614,31925,20507,
2606,5522,12370,16504,21168,23269,23809,24136,
2609,7505,15946,22234,23100,24041,28373,6168,
2610,727,1234,1629,2434,6674,8602,11645,
2623,2148,7451,9514,11519,13432,19690,23173,
2624,27137,
2634,12042,32350,3349,11364,12191,20752,27004,
2635,167,819,1378,2346,2556,3103,3170,
2657,27983,10850,14426,29357,1183,2500,2828,
2677,11443,11455,17013,25906,31480,26237,1057,
2679,10812,34473,35955,8576,24248,12306,13723,
2680,885,23066,34477,18984,9862,474,167,
2684,28488,221,8623,10554,13829,28387,33726,
2690,711,1832,4419,8035,8162,8292,9105,
2704,7416,8062,14778,26178,31995,31730,30713,
2712,19735,9496,9939,34787,1770,13375,28709,
2716,13462,21722,22066,990,32923,19194,17110,
2731,1488,23510,6740,21718,34731,261,8566,
2772,15831,5360,32598,22862,27551,22086,22586,
2774,12364,28130,27526,10692,6905,15617,27412,
2775,5801,21177,25433,27883,31023,34164,20185,
