1539,12059,19101,11446,8038,1624,5507,19446,34429,22090,15968,
1540,3284,14305,32233,261,437,1139,1183,1197,2254,2616,
1555,81,1169,1743,2487,2541,3123,3189,3344,3420,3465,
1570,5785,32490,29898,27083,29046,24914,35469,11009,
1610,2621,2493,3653,4663,7495,12057,30600,15091,20040,17964,
1617,29224,4193,1947,711,1832,5126,8292,12739,13168,13249,
1618,4231,10132,16114,19084,21363,25929,26582,4727,34636,17105,
1621,34709,6376,8234,14218,19697,23086,29374,30092,11856,19243,
1624,18116,1748,5004,6258,6882,7207,11863,11940,21928,32592,
1634,437,1139,5005,5900,6773,8566,8829,11506,13539,15529,
1646,3621,8200,9811,10157,10721,11059,12855,26239,28150,28860,
1653,9390,27817,
1684,3647,555,2280,5882,12588,17198,32692,33386,3461,3638,
1691,1879,5315,7117,12205,16963,17751,20016,20160,21822,23147,
1738,2124,3031,3433,3915,6427,7181,15292,19955,21050,21566,
1763,27560,26239,13014,612,705,1170,2429,2823,6643,7156,
1790,18572,24512,6372,7069,26632,26853,24825,34404,7731,34609,
1796,81,1169,1743,2487,2541,3123,3189,3344,3420,3465,
1805,2106,33526,5437,13020,25720,27779,33431,33,6674,8602,
1817,376,1182,2000,3484,4752,4879,5462,5958,7271,7410,
1871,28258,18762,5592,8613,14525,26911,30343,418,5351,11100,
1884,695,885,2026,2113,2508,3490,3543,3632,3925,4561,
1888,2788,8469,3683,8164,33653,19751,15394,4808,261,543,
1895,29224,1947,29098,7076,9055,4193,25426,5495,24104,35574,
1899,1011,22499,10839,23647,24987,2577,14139,15644,5534,20084,
1916,18605,7035,8946,2635,23977,5971,167,284,458,466,
1947,29098,29224,5495,25426,4193,26540,7076,24104,9055,33670,
1950,14689,5178,11363,21840,25274,27341,29605,33631,4878,6935,
2020,52,603,2125,4430,5090,9497,10150,12591,17004,17354,
2029,18129,173,1050,2271,2807,5960,7700,8034,8518,9729,
2030,167,562,819,844,1378,2556,3103,3170,3430,3781,
2032,6447,27817,13648,35469,
2106,8051,5820,21182,34880,35550,
2109,7051,12245,26806,21495,3620,15141,1355,14682,6972,18076,
2120,124,261,437,543,1139,1197,2254,2616,3349,3683,
2168,695,885,1884,2026,2113,2508,3490,3543,3632,3925,
2176,7956,1182,1817,376,1183,1234,1629,2000,2434,2828,
2205,9022,23807,25226,9307,16072,16235,19892,12587,14341,14238,
2207,418,1871,5351,11100,11743,11928,13887,15441,28258,28346,
2224,4145,4197,7764,9867,12487,13124,13145,13717,14296,14462,
2235,33095,53,3296,5352,7242,10395,19755,20980,14391,30482,
2283,14524,
2309,11414,5645,6230,12245,17343,21917,24216,26806,1013,3027,
2319,8568,12540,19420,31901,3406,3411,5279,6665,7341,10874,
2326,6455,13249,15312,15713,18210,18878,20037,21042,21291,30652,
2333,23667,32172,30896,17937,1,29,152,549,562,844,
2337,8204,15087,17103,22784,5350,6651,7031,30408,2313,8890,
2342,35494,23895,10960,4561,5101,10679,19009,25392,25724,28571,
2345,1589,4292,6277,6987,7104,7422,8457,10159,18759,26790,
2347,1115,11543,15060,19233,2776,3384,9370,14413,15133,15834,
2376,12928,24605,33117,1210,23563,1884,1603,2121,4948,8358,
2388,3570,5404,7039,12028,18212,19054,20410,32532,33184,12042,
2397,13223,34311,16344,11856,12005,34994,31991,30035,3088,10845,
2401,12612,21717,26456,8237,11362,14214,32548,6935,9080,11751,
2421,1085,2217,17310,27355,29044,31154,21042,27891,22821,10423,
